Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Z-Score (Budget),Box Office Revenue,Z-Score (Revenue)
G.I. Joe: Retaliation,2013-03-27,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Adventure,Jon Chu,,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,130000000.00,1.65,375700000.00,1.22
Gangster Squad,2013-01-11,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Crime,Ruben Fleischer,,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,75000000.00,0.53,105200000.00,-0.26
Get Hard,2015-03-27,https://en.wikipedia.org/wiki/Get_Hard,Comedy,,Etan Cohen,,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,40000000.00,-0.18,111800000.00,-0.22
Get on Up,2014-08-01,https://en.wikipedia.org/wiki/Get_on_Up_(film),Drama,Biography,Tate Taylor,,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,30000000.00,-0.38,33400000.00,-0.65
Getaway,2013-08-30,https://en.wikipedia.org/wiki/Getaway_(film),Action,,Courtney Solomon,Yaron Levy,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,,18000000.00,-0.63,11800000.00,-0.76
Ghost Rider: Spirit of Vengeance,2012-02-17,https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance,Action,Fantasy,Mark Neveldine,Brian Taylor,Nicolas Cage,Idris Elba,Fergus Riordan,Ciarán Hinds,Violante Placido,57000000.00,0.17,132600000.00,-0.11
Ghostbusters,2016-07-15,https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),Comedy,Sci-Fi,Paul Feig,,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,144000000.00,1.93,217500000.00,0.36
God's Not Dead,2014-03-21,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_(film),Religious,,Harold Cronk,,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,2000000.00,-0.95,62600000.00,-0.49
God's Not Dead 2,2016-04-01,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_2,Religious,,Harold Cronk,,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,5000000.00,-0.89,23500000.00,-0.70
Gods of Egypt,2016-02-25,https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),Action,Fantasy,Alex Proyas,,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,140000000.00,1.85,145700000.00,-0.03
Godzilla,2014-05-08,https://en.wikipedia.org/wiki/Godzilla_(2014_film),Action,Adventure,Gareth Edwards,,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,160000000.00,2.26,529000000.00,2.06
Gone Girl,2014-09-26,https://en.wikipedia.org/wiki/Gone_Girl_(film),Mystery,Thriller,David Fincher,,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Kim Dickens,61000000.00,0.25,369300000.00,1.19
Good Deeds,2012-02-24,https://en.wikipedia.org/wiki/Good_Deeds,Romance,Drama,Tyler Perry,,Tyler Perry,Thandie Newton,Rebecca Romijn,Brian J. White,Jamie Kennedy,14000000.00,-0.71,35600000.00,-0.64
Goosebumps,2015-10-05,https://en.wikipedia.org/wiki/Goosebumps_(film),Action,Fantasy,Rob Letterman,,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Ryan Lee,84000000.00,0.71,150200000.00,-0.01
